INVOICENO,"STOCK CODE",Description,Quantity,InvoiceDate,UNITPRICE,CustomerID,Country,Name,Age
537128,22465,"HANGING METAL STAR LANTERN",12,"12-01-2010 11:41",1.65,15081,"United Kingdom",NULL,NULL
537129,84949,"SILVER HANGING T-LIGHT HOLDER",6,"12-01-2010 11:41",1.65,18102,"United Kingdom",NULL,NULL
537130,20685,"DOORMAT RED RETROSPOT",2,"12-01-2010 11:41",7.95,16365,"United Kingdom",NULL,NULL
537131,48194,"DOORMAT HEARTS",2,"12-01-2010 11:41",7.95,17870,"United Kingdom",NULL,NULL
537132,22488,"NATURAL SLATE RECTANGLE CHALKBOARD",12,"12-01-2010 11:41",1.65,14821,"United Kingdom",NULL,NULL
537133,22219,"LOVEBIRD HANGING DECORATION WHITE ",12,"12-01-2010 11:41",0.85,16863,"United Kingdom",NULL,NULL
537134,84879,"ASSORTED COLOUR BIRD ORNAMENT",8,"12-01-2010 11:41",1.69,13078,"United Kingdom",NULL,NULL
537135,21754,"HOME BUILDING BLOCK WORD",3,"12-01-2010 11:41",5.95,13267,"United Kingdom",NULL,NULL
537136,21755,"LOVE BUILDING BLOCK WORD",3,"12-01-2010 11:41",5.95,13050,"United Kingdom",NULL,NULL
537137,22766,"PHOTO FRAME CORNICE",8,"12-01-2010 11:41",2.95,12709,"United Kingdom",NULL,NULL
537138,22610,"PENS ASSORTED FUNNY FACE",36,"12-01-2010 11:41",0.85,15628,"United Kingdom",NULL,NULL
537139,22716,"CARD CIRCUS PARADE",12,"12-01-2010 11:41",0.42,12386,"United Kingdom",NULL,NULL
537140,22706,"WRAP COWBOYS  ",25,"12-01-2010 11:41",0.42,14796,"United Kingdom",NULL,NULL
537141,22371,"AIRLINE BAG VINTAGE TOKYO 78",4,"12-01-2010 11:41",4.25,16779,"United Kingdom",NULL,NULL
537142,85014,"RED RETROSPOT UMBRELLA",3,"12-01-2010 11:41",5.95,13599,"United Kingdom",NULL,NULL
537143,85014,"BLACK/BLUE POLKADOT UMBRELLA",3,"12-01-2010 11:41",5.95,13329,"United Kingdom",NULL,NULL
537144,84997,"RED 3 PIECE RETROSPOT CUTLERY SET",6,"12-01-2010 11:41",3.75,18077,"United Kingdom",NULL,NULL
537153,21212,"PACK OF 72 RETROSPOT CAKE CASES",24,"12-01-2010 11:41",0.55,14744,"United Kingdom",NULL,NULL
537154,21210,"SET OF 72 RETROSPOT PAPER  DOILIES",12,"12-01-2010 11:41",1.45,17406,"United Kingdom",NULL,NULL
537155,22914,"BLUE COAT RACK PARIS FASHION",3,"12-01-2010 11:41",4.95,15750,"United Kingdom",NULL,NULL
537156,22553,"PLASTERS IN TIN SKULLS",12,"12-01-2010 11:41",1.65,13983,"United Kingdom",NULL,NULL
537157,16237,"SLEEPING CAT ERASERS",30,"12-01-2010 11:41",0.21,13842,"United Kingdom",NULL,NULL
537158,22714,"CARD BIRTHDAY COWBOY",12,"12-01-2010 11:41",0.42,12441,"United Kingdom",NULL,NULL
537159,22812,"PACK 3 BOXES CHRISTMAS PANNETONE",12,"12-01-2010 11:41",1.95,13199,"United Kingdom",NULL,NULL
537160,84347,"ROTATING SILVER ANGELS T-LIGHT HLDR",6,"12-01-2010 11:41",2.55,14032,"United Kingdom",NULL,NULL
537163,21587,"COSY HOUR GIANT TUBE MATCHES",12,"12-01-2010 11:41",2.55,17706,"United Kingdom",NULL,NULL
537176,22736,"RIBBON REEL MAKING SNOWMEN ",10,"12-01-2010 11:41",1.65,16081,"United Kingdom",NULL,NULL
537179,22492,"MINI PAINT SET VINTAGE ",36,"12-01-2010 11:41",0.65,16525,"United Kingdom",NULL,NULL
537192,22620,"4 TRADITIONAL SPINNING TOPS",12,"12-01-2010 11:41",1.25,14952,"United Kingdom",NULL,NULL
537193,22619,"SET OF 6 SOLDIER SKITTLES",4,"12-01-2010 11:41",3.75,17975,"United Kingdom",NULL,NULL
537194,21705,"BAG 500g SWIRLY MARBLES",12,"12-01-2010 11:41",1.65,16122,"United Kingdom",NULL,NULL
537195,90199,"5 STRAND GLASS NECKLACE CRYSTAL",3,"12-01-2010 11:45",6.35,13126,"United Kingdom",NULL,NULL
537196,21479,"WHITE SKULL HOT WATER BOTTLE ",1,"12-01-2010 11:45",3.75,15973,"United Kingdom",NULL,NULL
537197,22111,"SCOTTIE DOG HOT WATER BOTTLE",1,"12-01-2010 11:45",4.95,16558,"United Kingdom",NULL,NULL
537198,22785,"SQUARECUSHION COVER PINK UNION FLAG",1,"12-01-2010 11:45",6.75,16713,"United Kingdom",NULL,NULL
537199,22975,"SPACEBOY CHILDRENS EGG CUP",1,"12-01-2010 11:45",1.25,16893,"United Kingdom",NULL,NULL
537200,22972,"CHILDREN'S SPACEBOY MUG",1,"12-01-2010 11:45",1.65,15529,"United Kingdom",NULL,NULL
537201,22866,"HAND WARMER SCOTTY DOG DESIGN",1,"12-01-2010 11:45",2.1,15498,"United Kingdom",NULL,NULL
537202,22568,"FELTCRAFT CUSHION OWL",1,"12-01-2010 11:45",3.75,18043,"United Kingdom",NULL,NULL
537203,85116,"BLACK CANDELABRA T-LIGHT HOLDER",1,"12-01-2010 11:45",2.1,16016,"United Kingdom",NULL,NULL
537204,22664,"TOY TIDY DOLLY GIRL DESIGN",1,"12-01-2010 11:45",2.1,17722,"United Kingdom",NULL,NULL
537205,21609,"SET 12 LAVENDER  BOTANICAL T-LIGHTS",1,"12-01-2010 11:45",2.95,17324,"United Kingdom",NULL,NULL
537206,21866,"UNION JACK FLAG LUGGAGE TAG",1,"12-01-2010 11:45",1.25,17341,"United Kingdom",NULL,NULL
537207,20669,"RED HEART LUGGAGE TAG",1,"12-01-2010 11:45",1.25,15916,"United Kingdom",NULL,NULL
537208,90129,"RED GLASS TASSLE BAG CHARM",1,"12-01-2010 11:45",2.95,14051,"United Kingdom",NULL,NULL
537209,90210,"CLEAR ACRYLIC FACETED BANGLE",1,"12-01-2010 11:45",2.95,16233,"United Kingdom",NULL,NULL
537210,90199,"5 STRAND GLASS NECKLACE CRYSTAL",1,"12-01-2010 11:45",6.35,16385,"United Kingdom",NULL,NULL
537211,21955,"DOORMAT UNION JACK GUNS AND ROSES",1,"12-01-2010 11:45",7.95,15032,"United Kingdom",NULL,NULL
537212,72802,"VANILLA SCENT CANDLE JEWELLED BOX",1,"12-01-2010 11:45",4.25,17213,"United Kingdom",NULL,NULL
537213,22109,"FULL ENGLISH BREAKFAST PLATE",1,"12-01-2010 11:45",3.75,18061,"United Kingdom",NULL,NULL
537214,85116,"BLACK CANDELABRA T-LIGHT HOLDER",5,"12-01-2010 11:45",2.1,13113,"United Kingdom",NULL,NULL
537215,22531,"MAGIC DRAWING SLATE CIRCUS PARADE  ",1,"12-01-2010 11:45",0.42,16553,"United Kingdom",NULL,NULL
537216,21811,"CHRISTMAS HANGING HEART WITH BELL",1,"12-01-2010 11:45",1.25,13455,"United Kingdom",NULL,NULL
537217,22183,"CAKE STAND VICTORIAN FILIGREE MED",1,"12-01-2010 11:45",6.75,14217,"United Kingdom",NULL,NULL
537218,21678,"PAISLEY PATTERN  STICKERS",6,"12-01-2010 11:45",0.85,17262,"United Kingdom",NULL,NULL
537219,21676,"FLOWERS  STICKERS",6,"12-01-2010 11:45",0.85,14299,"United Kingdom",NULL,NULL
537220,84625,"PINK NEW BAROQUECANDLESTICK CANDLE",1,"12-01-2010 11:45",2.95,18259,"United Kingdom",NULL,NULL
537221,84625,"BLUE NEW BAROQUE CANDLESTICK CANDLE",3,"12-01-2010 11:45",2.95,17676,"United Kingdom",NULL,NULL
537222,21931,"JUMBO STORAGE BAG SUKI",2,"12-01-2010 11:45",1.95,16679,"United Kingdom",NULL,NULL
537223,85169,"BLACK LOVE BIRD CANDLE",12,"12-01-2010 11:45",1.25,18269,"United Kingdom",NULL,NULL
537224,16238,"PARTY TIME PENCIL ERASERS",28,"12-01-2010 11:45",0.21,12766,"United Kingdom",NULL,NULL
537225,20668,"DISCO BALL CHRISTMAS DECORATION",24,"12-01-2010 11:45",0.12,15298,"United Kingdom",NULL,NULL
537226,84906,"PINK B'FLY C/COVER W BOBBLES",1,"12-01-2010 11:45",5.95,18193,"United Kingdom",NULL,NULL
537227,21867,"PINK UNION JACK  LUGGAGE TAG",1,"12-01-2010 11:45",1.25,13523,"United Kingdom",NULL,NULL
537228,22075,"6 RIBBONS ELEGANT CHRISTMAS ",1,"12-01-2010 11:45",1.65,12870,"United Kingdom",NULL,NULL
537229,21866,"UNION JACK FLAG LUGGAGE TAG",1,"12-01-2010 11:45",1.25,15005,"United Kingdom",NULL,NULL
537230,21326,"AGED GLASS SILVER T-LIGHT HOLDER",12,"12-01-2010 11:45",0.65,15581,"United Kingdom",NULL,NULL
537231,21065,"BOOM BOX SPEAKER GIRLS",1,"12-01-2010 11:45",5.95,15680,"United Kingdom",NULL,NULL
537232,22074,"6 RIBBONS SHIMMERING PINKS ",1,"12-01-2010 11:45",1.65,13649,"United Kingdom",NULL,NULL
537233,22900," SET 2 TEA TOWELS I LOVE LONDON ",1,"12-01-2010 11:45",2.95,17894,"United Kingdom",NULL,NULL
537234,20713,"JUMBO BAG OWLS",1,"12-01-2010 11:45",1.95,13270,"United Kingdom",NULL,NULL
537235,20966,"SANDWICH BATH SPONGE",2,"12-01-2010 11:45",1.25,14618,"United Kingdom",NULL,NULL
537236,21116,"OWL DOORSTOP",1,"12-01-2010 11:45",4.95,14866,"United Kingdom",NULL,NULL
537237,90199,"5 STRAND GLASS NECKLACE CRYSTAL",2,"12-01-2010 11:45",6.35,13077,"United Kingdom",NULL,NULL
537238,22633,"HAND WARMER UNION JACK",1,"12-01-2010 11:45",2.1,13115,"United Kingdom",NULL,NULL
537239,22866,"HAND WARMER SCOTTY DOG DESIGN",1,"12-01-2010 11:45",2.1,13531,"United Kingdom",NULL,NULL
537240,22198,"LARGE POPCORN HOLDER ",1,"12-01-2010 11:45",1.65,13848,"United Kingdom",NULL,NULL
537241,21824,"PAINTED METAL STAR WITH HOLLY BELLS",3,"12-01-2010 11:45",1.45,13140,"United Kingdom",NULL,NULL
537242,21823,"PAINTED METAL HEART WITH HOLLY BELL",3,"12-01-2010 11:45",1.45,15713,"United Kingdom",NULL,NULL
537243,22153,"ANGEL DECORATION STARS ON DRESS",6,"12-01-2010 11:45",0.42,17999,"United Kingdom",NULL,NULL
537244,22197,"SMALL POPCORN HOLDER",2,"12-01-2010 11:45",0.85,15347,"United Kingdom",NULL,NULL
537245,85099,"JUMBO BAG RED RETROSPOT",2,"12-01-2010 11:45",1.95,17340,"United Kingdom",NULL,NULL
537246,85099,"JUMBO BAG STRAWBERRY",1,"12-01-2010 11:45",1.95,13984,"United Kingdom",NULL,NULL
537247,20717,"STRAWBERRY SHOPPER BAG",1,"12-01-2010 11:45",1.25,15996,"United Kingdom",NULL,NULL
537248,20723,"STRAWBERRY CHARLOTTE BAG",1,"12-01-2010 11:45",0.85,14030,"United Kingdom",NULL,NULL
537249,22900," SET 2 TEA TOWELS I LOVE LONDON ",1,"12-01-2010 11:45",2.95,16252,"United Kingdom",NULL,NULL
537250,21980,"PACK OF 12 RED RETROSPOT TISSUES ",12,"12-01-2010 11:45",0.29,16596,"United Kingdom",NULL,NULL
537251,22111,"SCOTTIE DOG HOT WATER BOTTLE",1,"12-01-2010 11:45",4.95,16700,"United Kingdom",NULL,NULL
537252,22112,"CHOCOLATE HOT WATER BOTTLE",1,"12-01-2010 11:45",4.95,16011,"United Kingdom",NULL,NULL
537253,20728,"LUNCH BAG CARS BLUE",3,"12-01-2010 11:49",1.65,17655,"United Kingdom",NULL,NULL
537254,22382,"LUNCH BAG SPACEBOY DESIGN ",3,"12-01-2010 11:49",1.65,16717,"United Kingdom",NULL,NULL
537255,22326,"ROUND SNACK BOXES SET OF4 WOODLAND ",1,"12-01-2010 11:49",2.95,14243,"United Kingdom",NULL,NULL
537256,22662,"LUNCH BAG DOLLY GIRL DESIGN",4,"12-01-2010 11:49",1.65,12963,"United Kingdom",NULL,NULL
537257,22383,"LUNCH BAG SUKI  DESIGN ",3,"12-01-2010 11:49",1.65,15079,"United Kingdom",NULL,NULL
537258,20727,"LUNCH BAG  BLACK SKULL.",3,"12-01-2010 11:49",1.65,14437,"United Kingdom",NULL,NULL
537262,22328,"ROUND SNACK BOXES SET OF 4 FRUITS ",1,"12-01-2010 11:49",2.95,12942,"United Kingdom",NULL,NULL
537265,22327,"ROUND SNACK BOXES SET OF 4 SKULLS",1,"12-01-2010 11:49",2.95,15660,"United Kingdom",NULL,NULL
537298,22630,"DOLLY GIRL LUNCH BOX",1,"12-01-2010 11:49",1.95,18092,"United Kingdom",NULL,NULL
537301,22629,"SPACEBOY LUNCH BOX ",1,"12-01-2010 11:49",1.95,15358,"United Kingdom",NULL,NULL
537312,21245,"GREEN POLKADOT PLATE ",1,"12-01-2010 11:49",1.69,12481,"United Kingdom",NULL,NULL
537313,21244,"BLUE POLKADOT PLATE ",1,"12-01-2010 11:49",1.69,12721,"United Kingdom",NULL,NULL
537314,21242,"RED RETROSPOT PLATE ",1,"12-01-2010 11:49",1.69,12621,"United Kingdom",NULL,NULL
537320,21243,"PINK  POLKADOT PLATE ",1,"12-01-2010 11:49",1.69,18071,"United Kingdom",NULL,NULL
537332,22327,"ROUND SNACK BOXES SET OF 4 SKULLS",1,"12-01-2010 11:49",2.95,12683,"United Kingdom",NULL,NULL
537333,22273,"FELTCRAFT DOLL MOLLY",1,"12-01-2010 11:49",2.95,12755,"United Kingdom",NULL,NULL
537334,22940,"FELTCRAFT CHRISTMAS FAIRY",3,"12-01-2010 11:49",4.25,13854,"United Kingdom",NULL,NULL
537335,22652,"TRAVEL SEWING KIT",5,"12-01-2010 11:49",1.65,12797,"United Kingdom",NULL,NULL
537346,22759,"SET OF 3 NOTEBOOKS IN PARCEL",1,"12-01-2010 11:49",1.65,13369,"United Kingdom",NULL,NULL
537350,21880,"RED RETROSPOT TAPE",10,"12-01-2010 11:49",0.65,12494,"United Kingdom",NULL,NULL
537351,21738,"COSY SLIPPER SHOES SMALL  RED ",1,"12-01-2010 11:49",2.95,17857,"United Kingdom",NULL,NULL
537354,22077,"6 RIBBONS RUSTIC CHARM",1,"12-01-2010 11:49",1.65,17411,"United Kingdom",NULL,NULL
537359,85049,"SCANDINAVIAN REDS RIBBONS",3,"12-01-2010 11:49",1.25,14932,"United Kingdom",NULL,NULL
537360,22961,"JAM MAKING SET PRINTED",24,"12-01-2010 11:49",1.45,12429,"United Kingdom",NULL,NULL
537361,21448,"12 DAISY PEGS IN WOOD BOX",2,"12-01-2010 11:49",1.65,14987,"United Kingdom",NULL,NULL
537362,22837,"HOT WATER BOTTLE BABUSHKA ",3,"12-01-2010 11:49",4.65,14355,"United Kingdom",NULL,NULL
537363,22749,"FELTCRAFT PRINCESS CHARLOTTE DOLL",2,"12-01-2010 11:49",3.75,17526,"United Kingdom",NULL,NULL
537364,22940,"FELTCRAFT CHRISTMAS FAIRY",1,"12-01-2010 11:49",4.25,14896,"United Kingdom",NULL,NULL
537365,22749,"FELTCRAFT PRINCESS CHARLOTTE DOLL",1,"12-01-2010 11:49",3.75,14440,"United Kingdom",NULL,NULL
537366,22077,"6 RIBBONS RUSTIC CHARM",2,"12-01-2010 11:49",1.65,13240,"United Kingdom",NULL,NULL
537367,21738,"COSY SLIPPER SHOES SMALL  RED ",2,"12-01-2010 11:49",2.95,14479,"United Kingdom",NULL,NULL
537368,85049,"SCANDINAVIAN REDS RIBBONS",1,"12-01-2010 11:49",1.25,16065,"United Kingdom",NULL,NULL
537369,22243,"5 HOOK HANGER RED MAGIC TOADSTOOL",6,"12-01-2010 11:49",1.65,17430,"United Kingdom",NULL,NULL
537370,22141,"CHRISTMAS CRAFT TREE TOP ANGEL",1,"12-01-2010 11:49",2.1,16520,"United Kingdom",NULL,NULL
537371,22144,"CHRISTMAS CRAFT LITTLE FRIENDS",2,"12-01-2010 11:49",2.1,15945,"United Kingdom",NULL,NULL
537372,22243,"5 HOOK HANGER RED MAGIC TOADSTOOL",3,"12-01-2010 11:49",1.65,15181,"United Kingdom",NULL,NULL
537373,22077,"6 RIBBONS RUSTIC CHARM",7,"12-01-2010 11:49",1.65,15856,"United Kingdom",NULL,NULL
537374,21448,"12 DAISY PEGS IN WOOD BOX",1,"12-01-2010 11:49",1.65,13102,"United Kingdom",NULL,NULL
537375,22759,"SET OF 3 NOTEBOOKS IN PARCEL",5,"12-01-2010 11:49",1.65,14205,"United Kingdom",NULL,NULL
537376,22242,"5 HOOK HANGER MAGIC TOADSTOOL",5,"12-01-2010 11:49",1.65,17702,"United Kingdom",NULL,NULL
537377,85049,"SCANDINAVIAN REDS RIBBONS",12,"12-01-2010 11:49",1.25,15271,"United Kingdom",NULL,NULL
537378,21731,"RED TOADSTOOL LED NIGHT LIGHT",5,"12-01-2010 11:49",1.65,13982,"United Kingdom",NULL,NULL
537379,22243,"5 HOOK HANGER RED MAGIC TOADSTOOL",1,"12-01-2010 11:49",1.65,15288,"United Kingdom",NULL,NULL
537380,21739,"COSY SLIPPER SHOES SMALL GREEN",2,"12-01-2010 11:49",2.95,17978,"United Kingdom",NULL,NULL
537381,21738,"COSY SLIPPER SHOES SMALL  RED ",5,"12-01-2010 11:49",2.95,16795,"United Kingdom",NULL,NULL
537382,22271,"FELTCRAFT DOLL ROSIE",2,"12-01-2010 11:49",2.95,16519,"United Kingdom",NULL,NULL
537383,22273,"FELTCRAFT DOLL MOLLY",1,"12-01-2010 11:49",2.95,17816,"United Kingdom",NULL,NULL
537384,22274,"FELTCRAFT DOLL EMILY",2,"12-01-2010 11:49",2.95,13021,"United Kingdom",NULL,NULL
537385,22749,"FELTCRAFT PRINCESS CHARLOTTE DOLL",1,"12-01-2010 11:49",3.75,16255,"United Kingdom",NULL,NULL
537386,22751,"FELTCRAFT PRINCESS OLIVIA DOLL",2,"12-01-2010 11:49",3.75,17671,"United Kingdom",NULL,NULL
537387,21034,"REX CASH+CARRY JUMBO SHOPPER",1,"12-01-2010 11:49",0.95,17646,"United Kingdom",NULL,NULL
537388,22273,"FELTCRAFT DOLL MOLLY",2,"12-01-2010 11:49",2.95,12649,"United Kingdom",NULL,NULL
537389,22568,"FELTCRAFT CUSHION OWL",3,"12-01-2010 11:49",3.75,16350,"United Kingdom",NULL,NULL
537390,22141,"CHRISTMAS CRAFT TREE TOP ANGEL",1,"12-01-2010 11:49",2.1,12872,"United Kingdom",NULL,NULL
537391,22144,"CHRISTMAS CRAFT LITTLE FRIENDS",1,"12-01-2010 11:49",2.1,17339,"United Kingdom",NULL,NULL
537392,22570,"FELTCRAFT CUSHION RABBIT",3,"12-01-2010 11:49",3.75,18230,"United Kingdom",NULL,NULL
537393,22569,"FELTCRAFT CUSHION BUTTERFLY",2,"12-01-2010 11:49",3.75,16499,"United Kingdom",NULL,NULL
537394,21448,"12 DAISY PEGS IN WOOD BOX",1,"12-01-2010 11:49",1.65,17097,"United Kingdom",NULL,NULL
537395,22086,"PAPER CHAIN KIT 50'S CHRISTMAS ",1,"12-01-2010 11:49",2.95,15192,"United Kingdom",NULL,NULL
537396,22569,"FELTCRAFT CUSHION BUTTERFLY",2,"12-01-2010 11:49",3.75,14441,"United Kingdom",NULL,NULL
537397,21448,"12 DAISY PEGS IN WOOD BOX",2,"12-01-2010 11:49",1.65,15279,"United Kingdom",NULL,NULL
537398,22968,"ROSE COTTAGE KEEPSAKE BOX ",4,"12-01-2010 11:49",9.95,16579,"United Kingdom",NULL,NULL
537399,22902,"TOTE BAG I LOVE LONDON",7,"12-01-2010 11:49",2.1,15380,"United Kingdom",NULL,NULL
537400,21448,"12 DAISY PEGS IN WOOD BOX",2,"12-01-2010 11:49",1.65,17442,"United Kingdom",NULL,NULL
537401,22902,"TOTE BAG I LOVE LONDON",7,"12-01-2010 11:49",2.1,17950,"United Kingdom",NULL,NULL
537402,21710,"FOLDING UMBRELLA PINKWHITE POLKADOT",1,"12-01-2010 11:49",4.95,12826,"United Kingdom",NULL,NULL
537403,21708,"FOLDING UMBRELLA CREAM POLKADOT",1,"12-01-2010 11:49",4.95,17456,"United Kingdom",NULL,NULL
537404,21711,"FOLDING UMBRELLA WHITE/RED POLKADOT",1,"12-01-2010 11:49",4.95,17307,"United Kingdom",NULL,NULL
537405,22179,"SET 10 LIGHTS NIGHT OWL",2,"12-01-2010 11:49",6.75,15811,"United Kingdom",NULL,NULL
537406,22197,"SMALL POPCORN HOLDER",5,"12-01-2010 11:49",0.85,13327,"United Kingdom",NULL,NULL
537407,22900," SET 2 TEA TOWELS I LOVE LONDON ",2,"12-01-2010 11:49",2.95,17700,"United Kingdom",NULL,NULL
537408,21706,"FOLDING UMBRELLA RED/WHITE POLKADOT",1,"12-01-2010 11:49",4.95,13136,"United Kingdom",NULL,NULL
537409,22468,"BABUSHKA LIGHTS STRING OF 10",2,"12-01-2010 11:49",6.75,15535,"United Kingdom",NULL,NULL
537410,20725,"LUNCH BAG RED RETROSPOT",1,"12-01-2010 11:49",1.65,12605,"United Kingdom",NULL,NULL
537411,85184,"S/4 VALENTINE DECOUPAGE HEART BOX",1,"12-01-2010 11:49",2.95,15329,"United Kingdom",NULL,NULL
537412,21708,"FOLDING UMBRELLA CREAM POLKADOT",1,"12-01-2010 11:49",4.95,15211,"United Kingdom",NULL,NULL
537413,22900," SET 2 TEA TOWELS I LOVE LONDON ",2,"12-01-2010 11:49",2.95,15596,"United Kingdom",NULL,NULL
537414,21706,"FOLDING UMBRELLA RED/WHITE POLKADOT",1,"12-01-2010 11:49",4.95,16163,"United Kingdom",NULL,NULL
537415,22988,"SOLDIERS EGG CUP ",6,"12-01-2010 11:49",1.25,16907,"United Kingdom",NULL,NULL
537416,85184,"S/4 VALENTINE DECOUPAGE HEART BOX",1,"12-01-2010 11:49",2.95,17576,"United Kingdom",NULL,NULL
537417,20750,"RED RETROSPOT MINI CASES",1,"12-01-2010 11:49",7.95,14713,"United Kingdom",NULL,NULL
537419,22952,"60 CAKE CASES VINTAGE CHRISTMAS",10,"12-01-2010 11:57",0.55,13230,"United Kingdom",NULL,NULL
537420,22910,"PAPER CHAIN KIT VINTAGE CHRISTMAS",5,"12-01-2010 11:57",2.95,13969,"United Kingdom",NULL,NULL
537421,22739,"RIBBON REEL CHRISTMAS SOCK BAUBLE",3,"12-01-2010 11:57",1.65,17530,"United Kingdom",NULL,NULL
537422,22738,"RIBBON REEL SNOWY VILLAGE",3,"12-01-2010 11:57",1.65,15805,"United Kingdom",NULL,NULL
537423,22736,"RIBBON REEL MAKING SNOWMEN ",3,"12-01-2010 11:57",1.65,17696,"United Kingdom",NULL,NULL
537424,22909,"SET OF 20 VINTAGE CHRISTMAS NAPKINS",5,"12-01-2010 11:57",0.85,17076,"United Kingdom",NULL,NULL
537425,35591,"TURQUOISE CHRISTMAS TREE ",2,"12-01-2010 11:57",1.25,17827,"United Kingdom",NULL,NULL
537426,22186,"RED STAR CARD HOLDER",5,"12-01-2010 11:57",2.95,16265,"United Kingdom",NULL,NULL
537427,22695,"WICKER WREATH SMALL",3,"12-01-2010 11:57",1.45,17880,"United Kingdom",NULL,NULL
537428,22470,"HEART OF WICKER LARGE",1,"12-01-2010 11:57",2.95,13000,"United Kingdom",NULL,NULL
537429,22580,"ADVENT CALENDAR GINGHAM SACK",1,"12-01-2010 11:57",5.95,17790,"United Kingdom",NULL,NULL
537430,22469,"HEART OF WICKER SMALL",5,"12-01-2010 11:57",1.65,12731,"United Kingdom",NULL,NULL
537431,22147,"FELTCRAFT BUTTERFLY HEARTS",4,"12-01-2010 11:57",1.45,14419,"United Kingdom",NULL,NULL
537432,22130,"PARTY CONE CHRISTMAS DECORATION ",6,"12-01-2010 11:57",0.85,14082,"United Kingdom",NULL,NULL
537433,21791,"VINTAGE HEADS AND TAILS CARD GAME ",3,"12-01-2010 11:57",1.25,17912,"United Kingdom",NULL,NULL
537434,22694,"WICKER STAR ",5,"12-01-2010 11:57",2.1,15723,"United Kingdom",NULL,NULL
537435,21790,"VINTAGE SNAP CARDS",3,"12-01-2010 11:57",0.85,16656,"United Kingdom",NULL,NULL
537436,22149,"FELTCRAFT 6 FLOWER FRIENDS",4,"12-01-2010 11:57",2.1,14037,"United Kingdom",NULL,NULL
537437,22900," SET 2 TEA TOWELS I LOVE LONDON ",3,"12-01-2010 11:57",2.95,14256,"United Kingdom",NULL,NULL
537438,22961,"JAM MAKING SET PRINTED",3,"12-01-2010 11:57",1.45,14543,"United Kingdom",NULL,NULL
537439,22321,"BIRD DECORATION RED RETROSPOT",12,"12-01-2010 11:57",0.85,16062,"United Kingdom",NULL,NULL
537440,22594,"CHRISTMAS GINGHAM TREE",5,"12-01-2010 11:57",0.85,18116,"United Kingdom",NULL,NULL
537441,22593,"CHRISTMAS GINGHAM STAR",4,"12-01-2010 11:57",0.85,16019,"United Kingdom",NULL,NULL
537442,22595,"CHRISTMAS GINGHAM HEART",6,"12-01-2010 11:57",0.85,18178,"United Kingdom",NULL,NULL
537444,21986,"PACK OF 12 PINK POLKADOT TISSUES",12,"12-01-2010 11:57",0.29,18065,"United Kingdom",NULL,NULL
537445,22750,"FELTCRAFT PRINCESS LOLA DOLL",2,"12-01-2010 11:57",3.75,13148,"United Kingdom",NULL,NULL
537446,22616,"PACK OF 12 LONDON TISSUES ",12,"12-01-2010 11:57",0.29,12989,"United Kingdom",NULL,NULL
537447,22775,"PURPLE DRAWERKNOB ACRYLIC EDWARDIAN",1,"12-01-2010 11:57",1.25,14107,"United Kingdom",NULL,NULL
537448,22899,"CHILDREN'S APRON DOLLY GIRL ",2,"12-01-2010 11:57",2.1,15881,"United Kingdom",NULL,NULL
537449,22367,"CHILDRENS APRON SPACEBOY DESIGN",3,"12-01-2010 11:57",1.95,12785,"United Kingdom",NULL,NULL
537450,22942,"CHRISTMAS LIGHTS 10 SANTAS ",3,"12-01-2010 11:57",8.5,16727,"United Kingdom",NULL,NULL
537451,22941,"CHRISTMAS LIGHTS 10 REINDEER",3,"12-01-2010 11:57",8.5,15514,"United Kingdom",NULL,NULL
537452,22086,"PAPER CHAIN KIT 50'S CHRISTMAS ",6,"12-01-2010 11:57",2.95,13787,"United Kingdom",NULL,NULL
537453,22940,"FELTCRAFT CHRISTMAS FAIRY",2,"12-01-2010 11:57",4.25,17865,"United Kingdom",NULL,NULL
537454,21212,"PACK OF 72 RETROSPOT CAKE CASES",2,"12-01-2010 11:57",0.55,17220,"United Kingdom",NULL,NULL
537455,21976,"PACK OF 60 MUSHROOM CAKE CASES",2,"12-01-2010 11:57",0.55,16565,"United Kingdom",NULL,NULL
537456,22951,"60 CAKE CASES DOLLY GIRL DESIGN",2,"12-01-2010 11:57",0.55,16873,"United Kingdom",NULL,NULL
537457,21977,"PACK OF 60 PINK PAISLEY CAKE CASES",3,"12-01-2010 11:57",0.55,14062,"United Kingdom",NULL,NULL
537458,22834,"HAND WARMER BABUSHKA DESIGN",3,"12-01-2010 11:57",2.1,15179,"United Kingdom",NULL,NULL
537459,22867,"HAND WARMER BIRD DESIGN",3,"12-01-2010 11:57",2.1,18016,"United Kingdom",NULL,NULL
537460,22865,"HAND WARMER OWL DESIGN",3,"12-01-2010 11:57",2.1,14448,"United Kingdom",NULL,NULL
537461,22632,"HAND WARMER RED RETROSPOT",3,"12-01-2010 11:57",2.1,15503,"United Kingdom",NULL,NULL
537462,21916,"SET 12 RETRO WHITE CHALK STICKS",2,"12-01-2010 11:57",0.42,17251,"United Kingdom",NULL,NULL
537463,22587,"FELTCRAFT HAIRBAND RED AND BLUE",4,"12-01-2010 11:57",0.85,16923,"United Kingdom",NULL,NULL
537464,22566,"FELTCRAFT HAIRBAND PINK AND PURPLE",3,"12-01-2010 11:57",0.85,14159,"United Kingdom",NULL,NULL
